,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
13,13,2,0.560899973,"loan, process, time, closing, u, read, mortgage, rate, great, would","['spent', 'week', 'working', 'numerous', 'brand', 'name', 'bank', 'lending', 'intuition', 'refinance', 'home', 'assumed', 'came', 'particularly', 'opportune', 'time', 'completed', 'full', 'cycle', 'fulltime', 'employment', 'position', 'document', 'uploaded', 'within', 'day', 'income', 'credit', 'score', 'k', 'balance', 'quite', 'respectable', 'however', 'rather', 'met', 'highest', 'degree', 'professionalism', 'met', 'stumbling', 'block', 'bureaucracy', 'fortunate', 'find', 'michael', 'dedicated', 'professional', 'staff', 'guaranteed', 'rate', 'prepared', 'anything', 'professionalism', 'sensitivity', 'quick', 'time', 'responsible', 'turnaround', 'immediately', 'received', 'closing', 'cost', 'title', 'insurance', 'etc', 'lowest', 'ever', 'seen', 'closed', 'week', 'original', 'mortgage', 'paid', 'money', 'account', 'respectable', 'free', 'flowing', 'experience', 'imaginable', 'thank', 'michael', 'crew', 'jacob', 'koppel', 'read']"
14,14,1,0.969399989,"loan, process, would, u, read, recommend, home, mortgage, team, time","['worked', 'jason', '&', 'june', '&', '’', 'easier', 'process', 'completely', 'happy', 'experience', '&', 'process', 'depends', 'fast', 'respond', 'request', 'refinance', '&', 'completed', '&', 'funded', 'within', 'month']"
15,15,1,0.985700011,"loan, process, would, u, read, recommend, home, mortgage, team, time","['nothing', 'originally', 'stated', 'closing', 'cost', 'much', 'higher', 'told', 'beginning', 'didnt', 'get', 'money', 'back', 'told', 'would', 'complained', 'told', 'estimate', 'even', 'appraisal', 'ended', '$', 'given', 'long', 'list', 'painting', '&', 'work', 'done', 'could', 'get', 'fha', 'approval', 'day', 'paid', 'done', 'switched', 'conventional', 'would', 'recommend', 'friend', 'red', 'flag', 'went', 'throughout', 'process', 'kept', 'going', 'far', 'didnt', 'want', 'start', 'someone', 'else', 'big', 'mistake', 'read']"
16,16,1,0.754199982,"loan, process, would, u, read, recommend, home, mortgage, team, time","['end', 'taking', 'loan', 'company', 'comment', 'fact', 'broker', 'matt', 'quick', 'try', 'get', 'business', 'soon', 'found', 'complication', 'mortgage', 'insurance', 'stopped', 'contact', 'would', 'return', 'call', 'email', 'finally', 'got', 'hold', 'short', 'answer', 'offer', 'little', 'help', 'asked', 'detail', 'complication', 'went', 'different', 'company', 'loan', 'read']"
17,17,2,0.920799971,"loan, process, time, closing, u, read, mortgage, rate, great, would","['stephanie', 'awesome', 'worked', 'hard', 'u', 'make', 'sure', 'loan', 'closed']"
18,18,0,0.942900002,"would, work, time, loan, home, process, read, great, lender, rate","['professional', 'yet', 'personable', 'quick', 'help', 'question', 'obstacle', 'funding', 'process', 'highly', 'recommend', 'peter', 'lammerts', 'team']"
19,19,1,0.987900019,"loan, process, would, u, read, recommend, home, mortgage, team, time","['great', 'experience', 'working', 'adan', 'munoz', 'team', 'dlj', 'financial', 'adan', 'began', 'working', 'refinancing', 'option', 'home', 'decided', 'relocate', 'sell', 'adan', 'stayed', 'u', 'helped', 'u', 'secure', 'mortgage', 'new', 'home', 'process', 'painless', 'thanks', 'adan', 'lee', 'kulick', 'janeen', 'cadwell', 'knowledge', 'kindness', 'prompt', 'response', 'question', 'concern', 'made', 'whole', 'experience', 'pleasant', 'always', 'case', 'dealing', 'lender', 'past', 'would', 'definitely', 'recommend', 'dlj', 'financial', 'anyone', 'looking', 'new', 'loan', 'refinancing', 'option', 'read']"
20,20,1,0.976100028,"loan, process, would, u, read, recommend, home, mortgage, team, time","['alex', 'extremely', 'helpful', 'always', 'available', 'question', 'concern', 'kept', 'constant', 'contact', 'u', 'told', 'u', 'exactly', 'going', 'happening', 'issue', 'came', 'addressed', 'quickly', 'wouldnt', 'wait', 'longer', 'closing', 'always', 'trying', 'go', 'extra', 'step', 'make', 'sure', 'taken', 'care']"
21,21,1,0.975199997,"loan, process, would, u, read, recommend, home, mortgage, team, time","['thought', 'seemed', 'nice', 'first', 'played', 'phone', 'tag', 'got', 'letter', 'mail', 'stateing', 'interested', 'would', 'anything', 'file', 'left', 'message', 'andd', 'emailed', 'incorrect', 'heard', 'since', 'maybe', 'said', 'interested', 'im', 'dier', 'straight', 'need', 'help']"
22,22,2,0.690400004,"loan, process, time, closing, u, read, mortgage, rate, great, would","['cant', 'say', 'enough', 'great', 'thing', 'loan', 'officer', 'alex', 'jocovic', 'pacific', 'beneficial', 'mortgage', 'company', 'start', 'finish', 'side', 'daily', 'checkins', 'phone', 'call', 'dealing', 'problem', 'arose', 'handling', 'lot', 'issue', 'came', 'along', 'way', 'great', 'knowing', 'someone', 'back', 'offered', 'great', 'advice', 'along', 'way', 'home', 'purchase', 'stressful', 'scary', 'experience', 'felt', 'confident', 'knowing', 'great', 'hand', 'alex', 'cant', 'go', 'wrong', 'read']"
23,23,0,0.935400009,"would, work, time, loan, home, process, read, great, lender, rate","['buying', 'house', 'painful', 'fill', 'application', 'produce', 'proof', 'financials', 'etc', 'chris', 'team', 'made', 'easy', 'easy', 'work', 'organized', 'always', 'ready', 'answer', 'question', 'explain', 'something', 'needed', 'chris', 'friendly', 'knowledgeable', 'professional', 'always', 'best', 'interest', 'mind', 'communicated', 'u', 'every', 'step', 'way', 'best', 'home', 'loan', 'experience', 'ever', 'read']"
24,24,2,0.978100002,"loan, process, time, closing, u, read, mortgage, rate, great, would","['kory', 'far', 'best', 'loan', 'officer', 'ever', 'worked', 'dealing', 'complicated', 'refinance', 'purchase', 'two', 'different', 'property', 'cool', 'calm', 'professional', 'extremely', 'knowledgeable', 'throughout', 'entire', 'process', '’', 'use', 'anyone', 'else', 'moving', 'forward', 'level', 'integrity', 'responsiveness', 'second', 'none', 'thanks', 'everything', 'kory']"
25,25,1,0.967700005,"loan, process, would, u, read, recommend, home, mortgage, team, time","['million', 'friend', 'would', 'recommend', 'wyndham', 'capital', 'especially', 'mark', 'taylor', '’', 'great', 'really', 'help', 'even', 'clock', 'thanks', 'million', 'mark', 'mean', 'heart', 'appreciate', 'everything']"
26,26,1,0.950200021,"loan, process, would, u, read, recommend, home, mortgage, team, time","['tim', 'pope', 'informative', 'throughout', 'process', 'beginning', 'end', 'unlike', 'lender', 'made', 'pleasure', 'able', 'experience', 'thanks', 'tim']"
27,27,0,0.958700001,"would, work, time, loan, home, process, read, great, lender, rate","['worked', 'tracy', 'padgett', 'completely', 'professional', 'always', 'willing', 'help', 'explain', 'thing', 'time', 'day', 'great', 'work', 'would', 'definitely', 'recommend', 'family', 'friend']"
28,28,0,0.995100021,"would, work, time, loan, home, process, read, great, lender, rate","['closing', 'process', 'va', 'loan', 'went', 'smoothly', 'loan', 'servicing', 'socalled', 'bank', 'complete', 'disaster', 'set', 'loan', 'automatic', 'payment', 'using', 'clunky', 'website', 'unlike', 'bank', 'business', 'nasb', 'website', 'intuitive', 'provide', 'confirmation', 'entry', 'first', 'month', 'payment', 'automatically', 'debited', 'external', 'account', 'scheduled', 'however', 'escrow', 'amount', 'changed', 'nasb', 'debited', 'old', 'amount', 'account', 'sent', 'deficiency', 'letter', 'balance', 'unlike', 'every', 'bank', 'used', 'amount', 'debit', 'automatically', 'debited', 'nasb', 'sent', 'credit', 'counseling', 'letter', 'telling', 'apply', 'loan', 'payment', 'would', 'charge', 'late', 'payment', 'double', 'deficiency', '$', 'change', 'suggested', 'credit', 'counseling', 'service', 'called', 'servicing', 'department', 'representative', 'told', 'letter', 'sent', 'error', 'everything', 'adjusted', 'account', 'showing', 'current', 'two', 'week', 'later', 'received', 'total', 'two', 'voice', 'mail', 'message', 'email', 'span', 'minute', 'nasbs', 'default', 'department', 'woman', 'first', 'spoke', 'rude', 'said', 'showed', 'record', 'earlier', 'call', 'problem', 'hung', 'second', 'agent', 'man', 'default', 'department', 'said', 'show', 'made', 'automatic', 'payment', 'nasbs', 'system', 'set', 'adjust', 'anything', 'year', 'mortgage', 'payment', 'various', 'bank', 'never', 'experienced', 'incompetence', 'rude', 'service', 'specifically', 'instructed', 'last', 'agent', 'request', 'sell', 'servicing', 'loan', 'another', 'bank', 'capable', 'actually', 'performing', 'customer', 'service', 'veteran']"
29,29,1,0.984000027,"loan, process, would, u, read, recommend, home, mortgage, team, time","['jason', 'chandler', 'team', 'worked', 'hard', 'ensure', 'able', 'purchase', 'beautiful', 'home', 'cant', 'explain', 'difficult', 'situation', 'everything', 'couldve', 'possibly', 'went', 'wrong', 'managed', 'go', 'wrong', 'frustrated', 'jason', 'kept', 'u', 'right', 'track', 'helped', 'u', 'resolve', 'issue', 'able', 'close', 'loan', 'forever', 'grateful', 'team', 'thank', 'guy', 'defiantly', 'recommend', 'company', 'everyone', 'needing', 'home', 'loan', 'read']"
30,30,2,0.928200006,"loan, process, time, closing, u, read, mortgage, rate, great, would","['chris', 'hard', 'sell', 'guy', 'earns', 'business', 'giving', 'great', 'deal', 'working', 'hard', 'chris', 'always', 'responsive', 'time', 'reached', 'even', 'contacted', 'followup', 'great', 'well', 'highly', 'recommend', 'part', 'provide', 'required', 'information', 'obtain', 'loan', 'man', 'break', 'speed', 'record', 'getting', 'done', 'two', 'thumb', 'read']"
31,31,1,0.915899992,"loan, process, would, u, read, recommend, home, mortgage, team, time","['extremely', 'smooth', 'process', 'surprise', 'better', 'expected', 'interest', 'rate']"
32,32,1,0.854799986,"loan, process, would, u, read, recommend, home, mortgage, team, time","['rate', 'relockin', 'rule', 'followed']"
33,33,1,0.973999977,"loan, process, would, u, read, recommend, home, mortgage, team, time","['based', 'result', 'give', 'star', 'initial', 'conversation', 'course', 'hour', 'provided', 'info', 'based', 'anthony', 'said', 'would', 'give', 'option', 'moving', 'forward', 'next', 'day', 'talked', 'zero', 'option', 'said', 'wasnt', 'approved', 'waste', 'credit', 'pull']"
34,34,1,0.851100028,"loan, process, would, u, read, recommend, home, mortgage, team, time","['simply', 'awesome', 'responsive', 'helpful']"
35,35,2,0.986500025,"loan, process, time, closing, u, read, mortgage, rate, great, would","['trying', 'decide', 'triumph', 'lending', 'much', 'larger', 'company', 'whose', 'name', 'start', 'q', 'spaceship', 'logo', 'im', 'happy', 'went', 'triumph', 'company', 'got', 'needy', 'wouldnt', 'stop', 'trying', 'call', 'chose', 'triumph', 'however', 'triumph', 'didnt', 'play', 'game', 'responded', 'quickly', 'took', 'time', 'educate', 'didnt', 'use', 'gimmicky', 'sale', 'technique', 'pleasant', 'work', 'whole', 'process', 'im', 'happy', 'work', 'im', 'going', 'use', 'buy', 'rental', 'property', 'next', 'year', 'read']"
36,36,1,0.978799999,"loan, process, would, u, read, recommend, home, mortgage, team, time","['dean', 'made', 'homebuying', 'process', 'simple', 'husband', 'first', 'time', 'homeowner', 'overwhelming', 'trying', 'find', 'right', 'rate', 'learning', 'lingo', 'dean', 'helped', 'u', 'every', 'step', 'way', 'two', 'year', 'later', 'still', 'happy', 'home', 'highly', 'recommend', 'anyone', 'looking', 'someone', 'help', 'get', 'dream', 'home']"
37,37,1,0.985499978,"loan, process, would, u, read, recommend, home, mortgage, team, time","['met', 'mr', 'germain', 'daughter', 'son', 'law', 'known', 'done', 'business', 'several', 'year', 'mr', 'germain', 'also', 'helped', 'granddaughter', 'buy', 'first', 'home', 'moved', 'home', 'another', 'state', 'lived', 'year', 'thinking', 'would', 'frightening', 'intimidating', 'process', 'dreading', 'whole', 'thing', 'mr', 'germain', 'made', 'transition', 'new', 'home', 'much', 'easier', 'knowledge', 'compassion', 'would', 'recommend', 'mr', 'germain', 'anyone', 'want', 'le', 'stressful', 'positive', 'experience', 'read']"
38,38,2,0.908599973,"loan, process, time, closing, u, read, mortgage, rate, great, would","['bob', 'triumph', 'beat', 'lender', 'rate', 'prompt', 'approval', 'closing']"
39,39,2,0.968999982,"loan, process, time, closing, u, read, mortgage, rate, great, would","['penny', 'nothing', 'short', 'amazing', 'penny', 'helped', 'wife', 'multiple', 'time', 'get', 'mortgage', 'fit', 'u', 'comfortable', 'work', 'hard', 'day', 'night', 'make', 'customer', 'happy', 'truly', 'changed', 'life', 'better']"
40,40,0,0.864099979,"would, work, time, loan, home, process, read, great, lender, rate","['experience', 'tom', 'exceeded', 'expectation', 'always', 'available', 'answer', 'question', 'via', 'email', 'phone', 'text', 'tom', 'team', 'ken', 'true', 'professional', 'delivered', 'everything', 'said', 'would', 'couldnt', 'happier', 'home', 'buying', 'process', 'thankful', 'choose', 'garanteed', 'rate', 'lending', 'tree', 'thank', 'tom']"
41,41,1,0.976700008,"loan, process, would, u, read, recommend, home, mortgage, team, time","['whole', 'process', 'alex', 'attentive', 'every', 'detail', 'always', 'kept', 'u', 'informed', 'available', 'time', 'whenever', 'question', '’', 'many', 'business', 'dealing', 'service', 'provided', 'u', 'experience', 'alex', 'one', 'outsdanding', 'one', '’', 'ever', 'without', 'hesitation', 'recommend', 'service', 'thank']"
42,42,2,0.971099973,"loan, process, time, closing, u, read, mortgage, rate, great, would","['steven', 'phenomenal', 'job', 'working', 'locate', 'refinance', 'worked', 'family', 'would', 'highly', 'recommend', 'steven', 'recommend', 'friend', 'family', 'well', 'steven', 'worked', 'tirelessly', 'ensure', 'completely', 'satisfied', 'kept', 'loop', 'loan', 'process', 'everyday']"
43,43,0,0.915199995,"would, work, time, loan, home, process, read, great, lender, rate","['fast', 'helpful', 'best', 'service', 'possible', 'heartily', 'recommend', 'everyone']"
44,44,0,0.869000018,"would, work, time, loan, home, process, read, great, lender, rate","['good', 'guy', 'work', 'responsive', 'surprise']"
45,45,1,0.987600029,"loan, process, would, u, read, recommend, home, mortgage, team, time","['comment', 'begin', 'wife', 'point', 'signing', 'completion', 'leader', 'online', 'home', 'mortgage', 'service', 'satisfied', 'origination', 'cost', 'applied', 'lending', 'tree', 'competitive', 'bid', 'several', 'lender', 'matched', 'slightly', 'beat', 'nasb', 'none', 'convincing', 'closing', 'time', 'chose', 'nasb', 'dallas', 'goodlet', 'believability', 'closing', 'sale', 'loan', 'service', 'application', 'process', 'competitive', 'assuring', 'professional', 'timely', 'supportive', 'truthful', 'dallas', 'goodlet', 'brent', 'custer', 'whole', 'nasb', 'team', 'delivered', 'mortgage', 'time', 'price', 'promised', 'completely', 'satisfied', 'appreciative', 'staff', 'product', 'service', 'company', 'kudos']"
46,46,0,0.92110002,"would, work, time, loan, home, process, read, great, lender, rate","['professional', 'answered', 'returned', 'call', 'fast', 'great', 'communication', 'whole', 'process']"
47,47,1,0.975499988,"loan, process, would, u, read, recommend, home, mortgage, team, time","['thank', 'rick', 'richter', 'team', 'completing', 'mortgage', 'refinance', 'time', 'making', 'u', 'feel', 'like', 'valued', 'client', 'much', 'appreciate', 'way', 'entire', 'team', 'always', 'u', 'question', 'able', 'promptly', 'work', 'hurdle', 'refinancing', 'professionalism', 'happy', 'rate', 'service']"
48,48,1,0.935599983,"loan, process, would, u, read, recommend, home, mortgage, team, time","['working', 'agent', 'quick', 'simple', 'little', 'thing', 'completed', 'well', 'pleased', 'service', 'result', 'received']"
49,49,0,0.966499984,"would, work, time, loan, home, process, read, great, lender, rate","['fred', 'nice', 'always', 'available', 'address', 'concern', 'seems', 'really', 'care', 'customer', 'going', 'refinance', 'never', 'pleasant', 'fred', 'best', 'make', 'painless', 'possible', 'thanks', 'fred', 'best', 'kary']"
50,50,0,0.983299971,"would, work, time, loan, home, process, read, great, lender, rate","['adam', 'great', 'work', 'refi', 'attention', 'detail', 'made', 'smooth', 'easy', 'transaction', 'several', 'year', 'since', 'weve', 'gone', 'thru', 'home', 'loan', 'process', 'unsure', 'start', 'talking', 'adam', 'confident', 'one', 'help', 'u', 'refi', 'professional', 'helpful', 'knowledgeable', 'loan', 'process', 'answered', 'question', 'timely', 'manner', 'would', 'highly', 'recommend', 'adam', 'would', 'hesitate', 'work', 'read']"
51,51,2,0.547299981,"loan, process, time, closing, u, read, mortgage, rate, great, would","['expert', 'loan', 'officer', 'well', 'versed', 'va', 'financial', 'impact', 'loan', 'component', 'change', 'best', 'worked', 'across', 'home', 'buyingselling', 'deal', 'advocated', 'real', 'estate', 'broker', 'state', 'due', 'ability', 'close', 'complicated', 'high', 'pressure', 'deal', 'place', 'top', 'list', 'year', 'business', 'professionally', 'patiently', 'answer', 'detailed', 'question', 'rally', 'expanded', 'nasb', 'team', 'also', 'stellar', 'support', 'need', 'handled', 'complicated', 'va', 'loan', 'seemed', 'change', 'every', 'week', 'tried', 'buy', 'antebellum', 'home', 'tough', 'comp', 'retirement', 'military', 'tough', 'income', 'verification', 'five', 'family', 'swapping', 'home', 'ton', 'contingency', 'everything', 'along', 'way', 'mattered', 'aaron', 'nasb', 'team', 'got', 'done', 'even', 'weekend', 'closed', 'time', 'best', 'interest', 'rate', 'market', 'added', 'origination', 'fee', 'look', 'pas', 'opportunity', 'work', 'read']"
52,52,0,0.728200018,"would, work, time, loan, home, process, read, great, lender, rate","['staff', 'friendly', 'great', 'work', 'kept', 'well', 'informed', 'throughout', 'process']"
53,53,1,0.934400022,"loan, process, would, u, read, recommend, home, mortgage, team, time","['loan', 'officer', 'happy', 'communicate', 'committed', 'committed', 'communicated', 'u', 'questioned', 'item', 'problem', 'questioned', 'werent', 'settling', 'rate', 'lock', 'expired', 'idea', 'process', 'unless', 'contacted', 'steve', 'poor', 'poor', 'communication', 'mr', 'kang', 'also', 'sure', 'house', 'would', 'appraise', '$', 'k', 'house', 'talking', 'u', 'loan', 'didnt', 'end', 'appraising', 'causing', 'u', 'refinance', '%', 'lower', 'current', 'mortgage', 'appraiser', 'disorganized', 'called', 'twice', 'picture', 'forgot', 'used', 'poor', 'comp', 'contacted', 'several', 'time', 'look', 'document', 'expired', 'could', 'even', 'sign', 'within', 'minute', 'email', 'notification', 'good', 'actual', 'settlement', 'sweet', 'competent', 'notary', 'thank', 'goodness', 'done', 'poor', 'process', 'poor', 'communication', 'never', 'recommend', 'nasb', 'already', 'told', 'two', 'people', 'refinancing', 'steer', 'clear', 'read']"
54,54,2,0.98299998,"loan, process, time, closing, u, read, mortgage, rate, great, would","['team', 'aware', 'critical', 'information', 'delayed', 'refinancing', 'several', 'month', 'finally', 'upon', 'completion', 'also', 'several', 'week', 'later', 'promised', 'pay', 'check', 'creditor', 'wrong', 'due', 'late', 'fee', 'next', 'payment', 'chris', 'thomas', 'cordial', 'forthcoming', 'stayed', 'constant', 'contact', 'overall', 'company', 'delay', 'incorrect', 'balance', 'due', 'delay', 'would', 'make', 'impossible', 'recommend', 'company', 'whole', 'read']"
55,55,0,0.969299972,"would, work, time, loan, home, process, read, great, lender, rate","['contacted', 'via', 'email', 'jody', 'martin', 'twice', 'answered', 'question', 'never', 'heard', 'thats', 'call', 'good', 'customer', 'service', 'unable', 'approve', 'mortgage', 'thats', 'fine', 'least', 'let', 'know']"
56,56,0,0.977800012,"would, work, time, loan, home, process, read, great, lender, rate","['smooth', 'experienceworking', 'va', 'loan', 'closing', 'time', 'nasb', 'extremely', 'easy', 'work', 'veteran', 'want', 'lender', 'understands', 'easily', 'fund', 'va', 'loan', 'nasb', 'meet', 'requirement', 'five', 'star', 'lender', 'worked', 'past', 'meet', 'nasbs', 'service', 'especially', 'closing', 'time', 'experience', 'recommend', 'highly']"
57,57,0,0.965499997,"would, work, time, loan, home, process, read, great, lender, rate","['dean', 'huge', 'help', 'took', 'call', 'work', 'gave', 'undivided', 'attention', 'helped', 'land', 'dream', 'home', 'would', 'highly', 'recommend', 'anyone', 'looking', 'lender', 'regular', 'basis']"
58,58,2,0.967499971,"loan, process, time, closing, u, read, mortgage, rate, great, would","['felt', 'comfortable', 'working', 'alex', 'alex', 'always', 'patient', 'answering', 'question', 'promptly', 'returned', 'call', 'email', 'even', 'realtor', 'commented', 'pleasant', 'work', 'alex', 'asked', '“', 'find', '”']"
59,59,1,0.951099992,"loan, process, would, u, read, recommend, home, mortgage, team, time","['pleasure', 'work', 'christopher', 'waymire', 'process', 'made', 'easy', 'painless', 'staff', 'supporting', 'team', 'awesome', 'highly', 'recommend', 'company']"
60,60,1,0.975199997,"loan, process, would, u, read, recommend, home, mortgage, team, time","['chris', 'waymire', 'team', 'spectacular', 'first', 'time', 'home', 'buyer', 'chris', 'w', 'triumph', 'lending', 'suggested', 'mutual', 'friend', 'chris', 'triumph', 'team', 'responsive', 'proactive', 'every', 'stage', 'deal', 'guy', 'real', 'deal', 'highly', 'recommend', 'financing', 'chris']"
61,61,2,0.964100003,"loan, process, time, closing, u, read, mortgage, rate, great, would","['new', 'federal', 'regulation', 'made', 'tedious', 'time', 'consuming', 'process', 'closing', 'cost', 'seemed', 'bit', 'high', 'seemed', 'like', 'spent', 'lot', 'time', 'explaining', 'obvious']"
62,62,1,0.963100016,"loan, process, would, u, read, recommend, home, mortgage, team, time","['great', 'experience', 'andrea', 'helped', 'get', 'mortgage', 'condo', 'irvine', 'compared', 'lender', 'customer', 'service', 'made', 'difference', 'would', 'definitely', 'recommend', 'anyone', 'looking', 'loan']"
63,63,0,0.963100016,"would, work, time, loan, home, process, read, great, lender, rate","['jay', 'easy', 'get', 'hold', 'question', 'huge', 'there', 'lot', 'whole', 'loan', 'process', 'want', 'know', 'everythings', 'right', 'provided', 'great', 'service', 'couldve', 'wanted']"
64,64,1,0.665700018,"loan, process, would, u, read, recommend, home, mortgage, team, time","['recommend', 'everyone', 'know', 'nasb', 'dallas', 'goodlet', 'best', 'experience', 'possible', '’', 'many', 'mortgage', 'lifetime', 'far', 'pleasurable', 'received', 'great', 'rate', 'fee', 'low', 'service', 'dallas', 'provides', 'unmatched', '’', 'talking', 'mortgage', 'industry', 'service', 'best', '’', 'experienced', 'industry', 'maybe', 'ever', 'dallas', 'may', 'want', 'quit', 'mortgage', 'business', 'start', 'customer', 'service', 'consultation', 'business', 'satisfied', 'customer', 'read']"
